url,latitude,longitude,rating_1,rating_2,rating_3,rating_4,rating_5
https://www.tripadvisor.com/Attraction_Review-g294265-d591520-Reviews-Singapore_Cricket_Club-Singapore.html,1.289115,103.85202,5,2,10,78,70
https://www.tripadvisor.com/Attraction_Review-g294265-d2349033-Reviews-National_Stadium-Singapore.html,1.304407,103.8743,2,1,21,77,64
https://www.tripadvisor.com/Attraction_Review-g294265-d2341763-Reviews-Parkview_Square-Singapore.html,1.285801,103.85111,3,1,17,61,78
https://www.tripadvisor.com/Attraction_Review-g294265-d2344448-Reviews-Bollywood_Veggies-Singapore.html,1.41858,103.71608,3,5,22,68,61
https://www.tripadvisor.com/Attraction_Review-g294265-d941492-Reviews-G_MAX_Reverse_Bungy-Singapore.html,1.290237,103.84702,6,3,12,48,87
https://www.tripadvisor.com/Attraction_Review-g294265-d2338979-Reviews-Great_World-Singapore.html,1.293306,103.83201,3,2,36,88,22
https://www.tripadvisor.com/Attraction_Review-g294265-d8015306-Reviews-People_s_Park_Complex-Singapore.html,1.285278,103.842865,1,7,37,70,32
https://www.tripadvisor.com/Attraction_Review-g294265-d3459679-Reviews-Changi_Beach-Singapore.html,1.285801,103.85111,2,2,31,66,47
https://www.tripadvisor.com/Attraction_Review-g294265-d562954-Reviews-Singapore_Turf_Club-Singapore.html,1.42271,103.7627,2,4,14,68,58
https://www.tripadvisor.com/Attraction_Review-g294265-d8015310-Reviews-Chinatown_Point-Singapore.html,1.28516,103.84485,1,2,41,77,23
https://www.tripadvisor.com/Attraction_Review-g294265-d317471-Reviews-Sri_Srinivasa_Perumal_Temple-Singapore.html,1.31333,103.85593,0,2,26,70,45
https://www.tripadvisor.com/Attraction_Review-g294265-d1892450-Reviews-Isetan_Scotts-Singapore.html,1.285801,103.85111,5,3,40,62,31
https://www.tripadvisor.com/Attraction_Review-g294265-d8015325-Reviews-Lee_Kong_Chian_Natural_History_Museum-Singapore.html,1.285801,103.85111,2,0,15,61,61
https://www.tripadvisor.com/Attraction_Review-g294265-d3459938-Reviews-Civilian_War_Memorial-Singapore.html,1.285801,103.85111,0,2,42,61,34
https://www.tripadvisor.com/Attraction_Review-g294265-d2139558-Reviews-Orchard_Central-Singapore.html,1.300869,103.83959,1,5,39,67,25
https://www.tripadvisor.com/Attraction_Review-g294265-d7797836-Reviews-HarbourFront_Centre-Singapore.html,1.264194,103.8204,2,4,35,69,25
https://www.tripadvisor.com/Attraction_Review-g294265-d1516753-Reviews-Wisma_Atria_Shopping_Centre-Singapore.html,1.285801,103.85111,2,4,32,76,15
https://www.tripadvisor.com/Attraction_Review-g294265-d2344355-Reviews-Hort_Park-Singapore.html,1.285801,103.85111,1,0,16,54,56
